ADC_CR1	238
ADC_CR2	240
ADC_DR	251
ADC_HTR	246
ADC_JDRx	251
ADC_JOFRx	245
ADC_JSQR	250
ADC_LTR	246
ADC_SMPR1	244
ADC_SMPR2	245
ADC_SQR1	247
ADC_SQR2	248
ADC_SQR3	249
ADC_SR	237
AFIO_EVCR	183
AFIO_EXTICR1	191
AFIO_EXTICR2	191
AFIO_EXTICR3	192
AFIO_EXTICR4	192
AFIO_MAPR	184
AFIO_MAPR2	193
BKP_CSR	84
BKP_DRx	83
BKP_RTCCR	83
CAN_BTR	683
CAN_ESR	682
CAN_FA1R	693
CAN_FFA1R	693
CAN_FiRx	694
CAN_FM1R	692
CAN_FMR	691
CAN_FS1R	692
CAN_IER	680
CAN_MCR	674
CAN_MSR	676
CAN_RDHxR	690
CAN_RDLxR	690
CAN_RDTxR	689
CAN_RF0R	679
CAN_RF1R	680
CAN_RIxR	688
CAN_TDHxR	687
CAN_TDLxR	687
CAN_TDTxR	686
CAN_TIxR	685
CAN_TSR	677
CRC_DR	64
CRC_IDR	65
DBGMCU_CR	1101
DBGMCU_IDCODE	1087
DMA_CCRx	286
DMA_CMARx	288
DMA_CNDTRx	287
DMA_CPARx	288
DMA_IFCR	285
DMA_ISR	284
ETH_DMABMR	1058
ETH_DMACHRBAR	1071
ETH_DMACHRDR	1070
ETH_DMACHTBAR	1071
ETH_DMACHTDR	1070
ETH_DMAIER	1068
ETH_DMAMFBOCR	1070
ETH_DMAOMR	1064
ETH_DMARDLAR	1061
ETH_DMARPDR	1060
ETH_DMASR	1062
ETH_DMATDLAR	1061
ETH_DMATPDR	1060
ETH_MACA0HR	1044
ETH_MACA0LR	1045
ETH_MACA1HR	1045
ETH_MACA1LR	1046
ETH_MACA2HR	1046
ETH_MACA2LR	1047
ETH_MACA3HR	1048
ETH_MACA3LR	1048
ETH_MACCR	1032
ETH_MACFCR	1038
ETH_MACFFR	1035
ETH_MACHTHR	1036
ETH_MACHTLR	1037
ETH_MACIMR	1044
ETH_MACMIIAR	1037
